sample_name,platform,n_cells,n_genes_total,genes_per_cell_mean,genes_per_cell_median,genes_per_cell_std,genes_per_cell_min,genes_per_cell_max,umis_per_cell_mean,umis_per_cell_median,umis_per_cell_std,umis_per_cell_min,umis_per_cell_max,transcriptome_coverage_mean,transcriptome_coverage_median,transcriptome_coverage_std,transcriptome_coverage_min,transcriptome_coverage_max,doublet_rate,n_doublets,mitochondrial_percent_mean,mitochondrial_percent_median
kallisto_JW18DOX-Ctrl-1,10x,9336,25388,1397.678342,337,1694.601878,100,6419,10128.02549,1757,15520.32086,108,141984, ,0.01327398771,0.06674814394,0.003938868757,0.2528359855,0,0,0.3818256395,0.2762531328
kallisto_JW18DOX-Ctrl-2,10x,26081,25388,695.3734903,175,1107.702143,100,6218,3659.187071,449,9174.151731,104,108069,0.02738984915,0.006893020325,0.04363093364,0.003938868757,0.2449188593,0.0001917104406,5,0.1983418423,0.119070668
kallisto_JW18DOX-SV-1,10x,57686,25388,646.8922789,436,674.8341845,100,5865,1974.262837,844,4253.831006,108,94589,0.02548023786,0.01717346778,0.02658083285,0.003938868757,0.2310146526,0.3259889748,18805,0.1467721383,0.12
kallisto_JW18DOX-SV-2,10x,14986,25388,1771.549313,1716.5,1576.412186,100,5961,10316.59262,5396.5,11735.31003,103,95844,0.06977900239,0.06761068221,0.06209280707,0.003938868757,0.2347959666,0.3112238089,4664,0.245472634,0.07295344754
kallisto_JW18wMel-Ctrl-1,10x,16550,25388,993.8497885,145,1647.359598,100,6529,7360.568882,390,14857.65817,109,139947,0.03914643881,0.005711359697,0.06488733251,0.003938868757,0.2571687411,0.2885800604,4776,0.139773398,0.08949777852
kallisto_JW18wMel-Ctrl-2,10x,26899,25388,745.6562326,178,1269.539118,100,6659,4112.693706,366,10253.29599,109,148288,0.02937042038,0.007011186387,0.05000547969,0.003938868757,0.2622892705,0.2484478977,6683,0.09890384936,0.06930693069
kallisto_JW18wMel-SV-1,10x,45919,25388,1030.966049,162,1490.234263,100,6640,6642.188353,377,14332.39277,102,157000,0.04060839959,0.006380967386,0.05869837179,0.003938868757,0.2615408855,0.5577429822,25611,0.2108141492,0.1534653465
kallisto_JW18wMel-SV-2,10x,18187,25388,1112.990983,348,1361.931027,100,5923,5563.954528,696,9128.511621,107,99885,0.04383925408,0.01370726327,0.05364467569,0.003938868757,0.2332991965,0,0,0.1310873044,0.03833333333
kallisto_JW18DOX-Ctrl-1,pipseq,2202,25388,2884.677566,2904,1325.440474,105,6632,5187.333333,4425,3408.097414,116,37347,0.1136236634,0.1143847487,0.05220736073,0.004135812195,0.261225776,0.002270663034,5,0.02461214524,0.02258873363
kallisto_JW18DOX-Ctrl-2,pipseq,2016,25388,3307.660218,3490,1472.953719,103,6840,5896.467758,5165,3792.460732,112,34431,0.1302843949,0.1374665196,0.05801771384,0.00405703482,0.269418623,0.001984126984,4,0.02380534657,0.02097971771
kallisto_JW18DOX-SV-1,pipseq,809,25388,815.2311496,649,633.2011123,102,6479,1284.284302,1097,941.2577327,119,12714,0.03211088505,0.02556325823,0.02494096078,0.004017646132,0.2551993068,0.02472187886,20,0.07774724187,0.08
kallisto_JW18DOX-SV-2,pipseq,1596,25388,2305.253133,1978,1370.553819,110,6701,3656.042607,3195.5,2480.07986,114,17382,0.09080089542,0.07791082401,0.05398431617,0.004332755633,0.2639435954,0.008771929825,14,0.03859913079,0.03510826246
kallisto_JW18wMel-Ctrl-1,pipseq,2559,25388,2335.915983,2154,1269.754974,101,6585,4116.060961,3369,3052.563947,117,27360,0.09200866483,0.08484323302,0.05001398197,0.003978257444,0.2593745076,0,0,0.03294890179,0.03082549634
kallisto_JW18wMel-Ctrl-2,pipseq,2514,25388,2038.836913,1871.5,1112.61457,102,6315,3548.986874,2920,2596.96674,124,22946,0.08030711018,0.07371592879,0.04382442769,0.004017646132,0.248739562,0.003579952267,9,0.03498392598,0.03289166404
kallisto_JW18wMel-SV-1,pipseq,1345,25388,2404.954647,1863,1423.092072,101,6984,4099.260967,3535,2559.057115,111,18172,0.0947280072,0.07338112494,0.05605372899,0.003978257444,0.275090594,0.02379182156,32,0.04451946473,0.0443599493
kallisto_JW18wMel-SV-2,pipseq,1328,25388,2904.268072,2650,1552.828058,112,6557,4991.432229,4554.5,2951.695619,128,18814,0.1143953077,0.1043800221,0.06116385921,0.004411533008,0.2582716244,0.004518072289,6,0.03995780326,0.03589460572
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"* we might not want to filter for this, look into the warburg effect with Wolbachia infections"